User 5411: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 10]
User 1691: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4268: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 1732: [3882, 0, 1, 3, 4, 6, 7, 8, 10, 11]
User 3283: [3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834, 3835]
User 3805: [3882, 0, 1, 2, 3, 4, 3843, 3844, 3845, 3846]
User 1242: [3842, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3832, 3833]
User 695: [3881, 0, 1, 2, 3, 3840, 3842, 3843, 3844, 3845]
User 3767: [3882, 1, 2, 3, 4, 5, 6, 7, 10, 11]
User 5487: [3882, 1, 2, 3, 4, 5, 6, 7, 3842, 3843]
User 1998: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 896: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3883: [3882, 2, 3, 5, 6, 7, 8, 10, 11, 12]
User 3750: [3882, 1, 2, 3, 4, 5, 7, 8, 9, 10]
User 5522: [3882, 1, 2, 3, 5, 6, 7, 8, 10, 11]
User 4504: [3882, 0, 1, 2, 3, 4, 5, 6, 3843, 3844]
User 5836: [3881, 0, 1, 2, 3842, 3843, 3844, 3845, 3846, 3847]
User 2993: [3882, 1, 2, 3, 4, 6, 7, 8, 9, 10]
User 4301: [3882, 0, 1, 2, 3, 5, 6, 7, 8, 9]
User 5747: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 5598: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4733: [3882, 0, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850]
User 5184: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1958: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 997: [3882, 3840, 3841, 3842, 3843, 3845, 3846, 3847, 3848, 3831]
User 4917: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 5590: [3882, 0, 1, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 2598: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 4251: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 5683: [3882, 1, 2, 3, 3843, 3844, 3845, 3846, 3847, 3848]
User 838: [3881, 0, 1, 2, 3, 4, 7, 8, 11, 12]
User 3348: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 10]
User 3490: [3882, 2, 3, 6, 7, 8, 9, 10, 11, 12]
User 4599: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 1400: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3366: [3882, 0, 2, 3, 4, 5, 6, 3842, 3843, 3844]
User 4326: [3882, 0, 1, 2, 3843, 3844, 3845, 3846, 3847, 3848]
User 276: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3470: [3881, 3, 7, 8, 11, 12, 13, 14, 18, 19]
User 3086: [3882, 4, 7, 8, 9, 11, 12, 13, 14, 15]
User 3370: [3882, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3833]
User 4857: [3881, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 5332: [3835, 3836, 3838, 3840, 3843, 3844, 3846, 3847, 3825, 3828]
User 4534: [3882, 1, 3, 5, 6, 7, 8, 10, 12, 13]
User 983: [3881, 0, 2, 3, 4, 5, 7, 8, 9, 11]
User 4309: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 10]
User 1708: [3882, 1, 3, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 5009: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 709: [3881, 1, 2, 3, 4, 6, 7, 8, 9, 10]
User 5418: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4192: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 1241: [3880, 0, 1, 2, 3, 3839, 3840, 3842, 3843, 3844]
User 409: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1283: [3881, 0, 1, 3, 4, 6, 7, 8, 9, 11]
User 2366: [3882, 1, 2, 3, 4, 5, 6, 8, 9, 10]
User 4304: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5725: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 3843]
User 3401: [3882, 1, 2, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 2746: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 3930: [3882, 0, 1, 2, 3, 3843, 3844, 3845, 3846, 3847]
User 532: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 714: [3881, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 634: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 2104: [3881, 1, 2, 3, 4, 5, 6, 7, 8, 11]
User 3962: [3836, 3838, 3839, 3840, 3842, 3843, 3844, 3845, 3828, 3829]
User 369: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3128: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 11]
User 5760: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 1597: [3882, 0, 1, 3, 4, 5, 6, 7, 8, 9]
User 5152: [3882, 0, 1, 3, 5, 6, 7, 8, 3843, 3844]
User 224: [3882, 1, 2, 3, 4, 6, 7, 3839, 3842, 3843]
User 3291: [3882, 2, 3, 5, 6, 7, 8, 9, 11, 13]
User 3030: [3882, 1, 2, 3, 4, 6, 7, 8, 9, 3842]
User 544: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2202: [3882, 0, 3, 4, 5, 6, 7, 8, 10, 11]
User 3064: [3882, 1, 3, 4, 5, 7, 8, 3843, 3844, 3845]
User 5613: [3882, 0, 2, 3, 4, 6, 7, 8, 9, 11]
User 1627: [3882, 1, 2, 3, 3841, 3842, 3843, 3844, 3845, 3847]
User 3878: [3882, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834]
User 5654: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1123: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 2495: [3838, 3839, 3840, 3841, 3842, 3843, 3844, 3845, 3829, 3830]
User 3625: [3882, 3, 4, 6, 7, 10, 11, 3841, 3842, 3843]
User 1987: [3882, 2, 3, 4, 5, 6, 7, 8, 9, 11]
User 930: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 2839: [3842, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3833, 3834]
User 6039: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 3843]
User 15: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5949: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2879: [3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3833, 3834]
User 1721: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5073: [3881, 2, 3, 4, 6, 7, 8, 9, 10, 11]
User 949: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3690: [3882, 1, 2, 3, 4, 6, 7, 3840, 3841, 3842]
User 4850: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5493: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 148: [3882, 0, 2, 3, 4, 6, 7, 10, 11, 12]
User 1757: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 712: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4572: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 767: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1975: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 4082: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 11]
User 272: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 4470: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5946: [3882, 0, 1, 2, 3, 3843, 3844, 3845, 3846, 3847]
User 4332: [3882, 0, 2, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 4020: [3882, 2, 3, 4, 5, 7, 8, 10, 11, 12]
User 3915: [3882, 1, 2, 3, 4, 7, 8, 10, 11, 12]
User 1793: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 3528: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2410: [3882, 2, 3, 4, 5, 6, 7, 8, 11, 3843]
User 3966: [3882, 1, 3, 4, 5, 7, 8, 9, 10, 11]
User 1009: [3881, 1, 2, 3, 4, 5, 6, 7, 3838, 3839]
User 4212: [3882, 1, 2, 3, 4, 3843, 3844, 3845, 3846, 3847]
User 4077: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3588: [3882, 1, 3, 4, 5, 6, 7, 10, 11, 12]
User 2945: [3882, 0, 1, 3, 4, 5, 6, 7, 3839, 3840]
User 5626: [3882, 2, 3, 4, 7, 8, 10, 11, 3843, 3844]
User 3978: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4542: [3881, 1, 2, 3, 4, 7, 8, 9, 10, 11]
User 2725: [3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834, 3835]
User 1819: [3882, 0, 1, 3842, 3843, 3844, 3845, 3846, 3848, 3849]
User 1570: [3882, 0, 1, 2, 3, 4, 3842, 3843, 3844, 3845]
User 5830: [3881, 0, 2, 3, 4, 7, 8, 9, 11, 12]
User 3525: [3882, 0, 1, 3, 4, 7, 8, 9, 10, 11]
User 1768: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3740: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 10]
User 2688: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1332: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2036: [3881, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3481: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1003: [3882, 3, 4, 5, 7, 8, 3843, 3844, 3845, 3846]
User 1388: [3882, 2, 3, 4, 7, 3843, 3844, 3845, 3846, 3847]
User 2853: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3251: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3846: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4259: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 37: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 1243: [3882, 0, 3834, 3835, 3836, 3838, 3839, 3842, 3843, 3844]
User 2144: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 6006: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 776: [3882, 0, 2, 3, 3842, 3843, 3844, 3845, 3847, 3848]
User 646: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 2950: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3299: [3882, 0, 2, 3, 4, 5, 6, 7, 8, 9]
User 548: [3881, 2, 3, 4, 7, 9, 11, 12, 13, 14]
User 2962: [3882, 0, 1, 2, 3, 4, 5, 3842, 3843, 3844]
User 3647: [3882, 3842, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3833]
User 4724: [3882, 0, 1, 2, 5, 7, 11, 13, 15, 16]
User 5911: [3882, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850, 3834]
User 4788: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2088: [3881, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 1593: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 1476: [3881, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 4403: [3882, 0, 3, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 5338: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 779: [3882, 2, 3, 4, 5, 6, 7, 8, 9, 10]
User 1109: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 5055: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 3824: [3882, 0, 1, 2, 3, 4, 3843, 3844, 3845, 3846]
User 5311: [3882, 3841, 3842, 3843, 3844, 3845, 3846, 3847, 3848, 3832]
User 2912: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 3312: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 10]
User 401: [3882, 1, 2, 3842, 3843, 3844, 3845, 3847, 3848, 3849]
User 4352: [3882, 0, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850]
User 1610: [3882, 2, 3, 4, 6, 7, 8, 9, 10, 11]
User 4008: [3882, 0, 1, 3843, 3844, 3845, 3846, 3847, 3848, 3849]
User 4903: [3882, 1, 2, 3, 3843, 3844, 3845, 3846, 3847, 3848]
User 5033: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 4408: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 3282: [3882, 0, 2, 3, 4, 5, 6, 7, 8, 3843]
User 5407: [3882, 0, 2, 3, 4, 5, 6, 7, 8, 9]
User 3620: [3882, 1, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850]
User 2488: [3882, 3842, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3833]
User 25: [3882, 1, 5, 7, 8, 9, 11, 12, 13, 14]
User 3638: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
User 2628: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 11]
User 1892: [3882, 0, 1, 2, 3, 5, 6, 7, 8, 9]
User 886: [3882, 0, 1, 2, 3, 4, 6, 7, 8, 9]
User 523: [3881, 0, 3838, 3839, 3842, 3843, 3844, 3845, 3846, 3847]
User 5901: [3882, 0, 3843, 3844, 3845, 3846, 3847, 3848, 3849, 3850]
User 4087: [3882, 2, 3, 4, 5, 6, 7, 8, 9, 10]
User 2302: [3882, 0, 1, 2, 3, 4, 6, 3843, 3844, 3845]
User 3053: [3882, 1, 2, 3, 4, 5, 6, 7, 8, 9]
User 3873: [3882, 0, 1, 2, 3, 4, 5, 6, 7, 8]
